SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,USPrice,ImageURL,OwnedBy,WantedBy,Rating
29682,75267,1,Star Wars,The Mandalorian,2020,Mandalorian Battle Pack,4,102,14.99,https://images.brickset.com/sets/images/75267-1.jpg,2794,3080,
29491,76895,1,Speed Champions,,2020,Ferrari F8 Tributo,,275,19.99,https://images.brickset.com/sets/images/76895-1.jpg,857,2055,
29669,80105,1,Seasonal,Chinese New Year,2020,Chinese New Year Temple Fair,,1664,119.99,https://images.brickset.com/sets/images/80105-1.jpg,983,1830,
29396,76140,1,Marvel Super Heroes,Avengers,2020,Iron Man Mech,,148,9.99,https://images.brickset.com/sets/images/76140-1.jpg,518,930,
29397,76142,1,Marvel Super Heroes,Avengers,2020,Avengers Speeder Bike Attack,,226,19.99,https://images.brickset.com/sets/images/76142-1.jpg,219,914,
29490,21162,1,Minecraft,Minifig-scale,2020,The Taiga Adventure,1,74,9.99,https://images.brickset.com/sets/images/21162-1.jpg,152,323,
29400,76146,1,Marvel Super Heroes,Spider-Man,2020,Spider-Man Mech,1,152,9.99,https://images.brickset.com/sets/images/76146-1.jpg,201,576,
29439,60249,1,City,Traffic,2020,Street Sweeper,1,89,9.99,https://images.brickset.com/sets/images/60249-1.jpg,664,1618,
29668,80104,1,Seasonal,Chinese New Year,2020,Lion Dance,,882,79.99,https://images.brickset.com/sets/images/80104-1.jpg,978,1662,
29791,30548,1,Miscellaneous,,2020,Build Your Own Birds - Make it Yours,,26,,https://images.brickset.com/sets/images/30548-1.jpg,765,220,
29869,122005,1,Jurassic World,Magazine Gift,2020,T. rex,,65,,https://images.brickset.com/sets/images/122005-1.jpg,109,89,
29414,71708,1,Ninjago,Prime Empire,2020,Gamer's Market,9,218,29.99,https://images.brickset.com/sets/images/71708-1.jpg,326,970,
29380,75271,1,Star Wars,Episode IV,2020,Luke Skywalker's Landspeeder,3,236,29.99,https://images.brickset.com/sets/images/75271-1.jpg,595,1720,
29456,60267,1,City,Traffic,2020,Safari Off-Roader,2,168,19.99,https://images.brickset.com/sets/images/60267-1.jpg,413,1940,
29437,60247,1,City,Fire,2020,Forest Fire,1,84,9.99,https://images.brickset.com/sets/images/60247-1.jpg,154,449,
29488,21160,1,Minecraft,Minifig-scale,2020,The Illager Raid,,562,59.99,https://images.brickset.com/sets/images/21160-1.jpg,51,351,
29422,71716,1,Ninjago,Arcade Pod,2020,Lloyd Avatar - Arcade Pod,,48,9.99,https://images.brickset.com/sets/images/71716-1.jpg,313,685,
29474,70427,1,Hidden Side,,2020,Welcome to the Hidden Side,,189,19.99,https://images.brickset.com/sets/images/70427-1.jpg,336,1090,
29681,75266,1,Star Wars,The Rise of Skywalker,2020,Sith Troopers Battle Pack,4,105,14.99,https://images.brickset.com/sets/images/75266-1.jpg,1748,2082,
