num_reviews,piece_count,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name
2.0,277,Catapult into action and take back the eggs from the Piggy Trike!,75823,Average,Bird Island Egg Heist,4.5,Angry Birds™
2.0,168,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822,Easy,Piggy Plane Attack,5.0,Angry Birds™
11.0,74,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821,Easy,Piggy Car Escape,4.3,Angry Birds™
23.0,1032,Explore the architecture of the United States Capitol Building!,21030,Average,United States Capitol Building,4.6,Architecture
14.0,744,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture
7.0,597,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,Average,Shanghai,4.9,Architecture
37.0,598,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,Average,New York City,4.2,Architecture
24.0,780,Recreate Buckingham Palace with LEGO® Architecture!,21029,Average,Buckingham Palace,4.7,Architecture
23.0,468,Celebrate London with this LEGO® Architecture Skyline model!,21034,Average,London,4.7,Architecture
11.0,444,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,Average,Chicago,4.8,Architecture
14.0,386,Experience the grandeur of the Arc de Triomphe!,21036,Average,Arc de Triomphe,4.4,Architecture
53.0,321,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,Average,The Eiffel Tower,4.6,Architecture
7.0,361,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,Easy,Sydney,4.6,Architecture
63.0,847,Bring your LEGO® creations to life!,17101,Average,BOOST Creative Toolbox,3.4,BOOST
13.0,708,Build a LEGO® BrickHeadz version of yourself!,41597,Average,Go Brick Me,4.8,BrickHeadz
1.0,234,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,Easy,Owen & Blue,5.0,BrickHeadz
1.0,160,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,Very Easy,Mr. Incredible & Frozone,5.0,BrickHeadz
1.0,149,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,Very Easy,Chewbacca™,3.0,BrickHeadz
1.0,141,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,Very Easy,Han Solo™,4.0,BrickHeadz
3.0,101,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,Average,Iron Man MK50,4.7,BrickHeadz
2.0,105,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,Easy,Thanos,5.0,BrickHeadz
1.0,113,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,Easy,Star-Lord,5.0,BrickHeadz
1.0,136,Master the skills of a green-skinned assassin with LEGO® BrickHeadz Gamora!,41607,Not Available,Gamora,5.0,BrickHeadz
2.0,91,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,Easy,Finn,4.5,BrickHeadz
7.0,140,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270,Easy,Valentine's Bee,4.9,BrickHeadz
5.0,143,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,Wonder Woman™,5.0,BrickHeadz
3.0,122,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,Very Easy,The Flash™,4.0,BrickHeadz
5.0,130,Summon the dark side with a LEGO® BrickHeadz construction character featuring Kylo Ren™!,41603,Easy,Kylo Ren™,5.0,BrickHeadz
3.0,119,Feel the Force with a LEGO® BrickHeadz construction character featuring Rey!,41602,Easy,Rey,5.0,BrickHeadz
1.0,135,Dive in with LEGO® BrickHeadz Aquaman™!,41600,Very Easy,Aquaman™,4.0,BrickHeadz
2.0,108,Get an upgrade with LEGO® BrickHeadz Cyborg™,41601,Easy,Cyborg™,5.0,BrickHeadz
1.0,240,Travel back to the future with LEGO® BrickHeadz™ Marty McFly and Doc Brown!,41611,Easy,Marty McFly & Doc Brown,5.0,BrickHeadz
4.0,126,Hop to it with a LEGO® BrickHeadz™ Easter Bunny!,40271,Easy,Easter Bunny,5.0,BrickHeadz
7.0,102,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,41487,Easy,Lloyd,5.0,BrickHeadz
5.0,89,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,41488,Very Easy,Master Wu,4.4,BrickHeadz
6.0,118,Lead a LEGO® BrickHeadz ghost crew featuring Disney’s Captain Armando Salazar!,41594,Very Easy,Captain Armando Salazar,5.0,BrickHeadz
3.0,127,Lead the First Order with a LEGO® BrickHeadz construction character featuring Captain Phasma™,41486,Very Easy,Captain Phasma™,4.7,BrickHeadz
