SetID,Number,Variant,Theme,Subtheme,Year,Name,Pieces,Price,ImageURL,OwnedBy,WantedBy,Rating
22812,30224,1,City,General,2013,Ride-On Lawn Mower,42,,https://images.brickset.com/sets/images/30224-1.jpg,1950,1746,4
22830,21104,1,Ideas,NASA,2014,NASA Mars Science Laboratory Curiosity Rover,295,29.99,https://images.brickset.com/sets/images/21104-1.jpg,1983,2912,4
22888,71002,12,Collectable Minifigures,Series 11,2013,Saxophone Player,6,2.99,https://images.brickset.com/sets/images/71002-12.jpg,5426,2201,4
22889,71002,15,Collectable Minifigures,Series 11,2013,Constable,6,2.99,https://images.brickset.com/sets/images/71002-15.jpg,7760,1342,4
23000,42022,1,Technic,,2014,Hot Rod,414,39.99,https://images.brickset.com/sets/images/42022-1.jpg,3029,740,4
23015,60046,1,City,Police,2014,Helicopter Surveillance,528,74.99,https://images.brickset.com/sets/images/60046-1.jpg,2516,1539,4
23055,31014,1,Creator,,2014,Power Digger,64,4.99,https://images.brickset.com/sets/images/31014-1.jpg,4950,409,4
23058,31020,1,Creator,,2014,Twinblade Adventures,216,17.99,https://images.brickset.com/sets/images/31020-1.jpg,2144,506,4
23078,41042,1,Friends,Animals series 4,2014,Tiger's Beautiful Temple,42,3.99,https://images.brickset.com/sets/images/41042-1.jpg,3328,721,4
22969,75042,1,Star Wars,Episode III,2014,Droid Gunship,439,49.99,https://images.brickset.com/sets/images/75042-1.jpg,4490,2376,4
22941,70126,1,Legends of Chima,Legend Beasts,2014,Crocodile Legend Beast,121,9.99,https://images.brickset.com/sets/images/70126-1.jpg,3149,521,4
22922,79012,1,The Hobbit,The Desolation of Smaug,2013,Mirkwood Elf Army ,276,29.99,https://images.brickset.com/sets/images/79012-1.jpg,5708,1932,3.8
22879,10241,1,Creator Expert,Maersk,2014,Maersk Line Triple-E,1518,149.99,https://images.brickset.com/sets/images/10241-1.jpg,2601,3123,4
22920,40079,1,Creator,,2013,Mini VW T1 Camper Van,76,,https://images.brickset.com/sets/images/40079-1.jpg,4616,1937,4
24786,75127,1,Star Wars,Microfighters,2016,The Ghost Microfighter,104,9.99,https://images.brickset.com/sets/images/75127-1.jpg,8091,1429,4
24787,75128,1,Star Wars,MicroFighters,2016,TIE Advanced Prototype Microfighter,93,9.99,https://images.brickset.com/sets/images/75128-1.jpg,9086,1263,4
24770,70602,1,Ninjago,Skybound,2016,Jay's Elemental Dragon,350,29.99,https://images.brickset.com/sets/images/70602-1.jpg,2266,757,4
24764,70333,1,Nexo Knights,Ultimate,2016,Ultimate Robin,75,9.99,https://images.brickset.com/sets/images/70333-1.jpg,2758,414,4
24690,31042,1,Creator,,2016,Super Soarer,100,9.99,https://images.brickset.com/sets/images/31042-1.jpg,2519,312,4
24723,41172,1,Elves,,2016,The Water Dragon Adventure,212,19.99,https://images.brickset.com/sets/images/41172-1.jpg,3030,501,4
24934,71242,1,Dimensions,Story Pack,2016,New Ghostbusters: Play the Complete Movie,259,49.99,https://images.brickset.com/sets/images/71242-1.jpg,3827,861,3.8
24940,71248,1,Dimensions,Level Pack,2016,Mission Impossible Level Pack,76,29.99,https://images.brickset.com/sets/images/71248-1.jpg,4077,913,4
24959,75139,1,Star Wars,The Force Awakens,2016,Battle on Takodana,409,59.99,https://images.brickset.com/sets/images/75139-1.jpg,9069,1980,3.7
