num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
2,277,4,Catapult into action and take back the eggs from the Piggy Trike!,75823,Average,Bird Island Egg Heist,4.5,Angry Birds™,4,US
2,168,4,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822,Easy,Piggy Plane Attack,5,Angry Birds™,4,US
11,74,4.3,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821,Easy,Piggy Car Escape,4.3,Angry Birds™,4.1,US
23,1032,3.6,Explore the architecture of the United States Capitol Building!,21030,Average,United States Capitol Building,4.6,Architecture,4.3,US
14,744,3.2,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture,4.1,US
7,597,3.7,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,Average,Shanghai,4.9,Architecture,4.4,US
37,598,3.7,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,Average,New York City,4.2,Architecture,4.1,US
24,780,4.4,Recreate Buckingham Palace with LEGO® Architecture!,21029,Average,Buckingham Palace,4.7,Architecture,4.3,US
23,468,3.6,Celebrate London with this LEGO® Architecture Skyline model!,21034,Average,London,4.7,Architecture,4.1,US
11,444,3.6,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,Average,Chicago,4.8,Architecture,4.5,US
14,386,4.1,Experience the grandeur of the Arc de Triomphe!,21036,Average,Arc de Triomphe,4.4,Architecture,3.6,US
53,321,3.2,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,Average,The Eiffel Tower,4.6,Architecture,4.4,US
7,361,4.2,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,Easy,Sydney,4.6,Architecture,4.2,US
63,847,3.8,Bring your LEGO® creations to life!,17101,Average,BOOST Creative Toolbox,3.4,BOOST,3.5,US
13,708,4.7,Build a LEGO® BrickHeadz version of yourself!,41597,Average,Go Brick Me,4.8,BrickHeadz,4.8,US
1,234,3,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,Easy,Owen & Blue,5,BrickHeadz,5,US
1,160,5,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,Very Easy,Mr. Incredible & Frozone,5,BrickHeadz,5,US
1,149,2,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,Very Easy,Chewbacca™,3,BrickHeadz,4,US
1,141,2,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,Very Easy,Han Solo™,4,BrickHeadz,4,US
3,101,4,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,Average,Iron Man MK50,4.7,BrickHeadz,4.5,US
2,105,3,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,Easy,Thanos,5,BrickHeadz,5,US
1,113,5,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,Easy,Star-Lord,5,BrickHeadz,5,US
1,136,,Master the skills of a green-skinned assassin with LEGO® BrickHeadz Gamora!,41607,,Gamora,5,BrickHeadz,,US
2,91,3,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,Easy,Finn,4.5,BrickHeadz,4,US
7,140,3.2,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270,Easy,Valentine's Bee,4.9,BrickHeadz,4.7,US
5,143,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,Wonder Woman™,5,BrickHeadz,5,US
3,122,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,Very Easy,The Flash™,4,BrickHeadz,3,US
5,130,4.3,Summon the dark side with a LEGO® BrickHeadz construction character featuring Kylo Ren™!,41603,Easy,Kylo Ren™,5,BrickHeadz,4.8,US
3,119,4.5,Feel the Force with a LEGO® BrickHeadz construction character featuring Rey!,41602,Easy,Rey,5,BrickHeadz,4.5,US
1,135,1,Dive in with LEGO® BrickHeadz Aquaman™!,41600,Very Easy,Aquaman™,4,BrickHeadz,3,US
2,108,3.5,Get an upgrade with LEGO® BrickHeadz Cyborg™,41601,Easy,Cyborg™,5,BrickHeadz,4,US
1,240,3,Travel back to the future with LEGO® BrickHeadz™ Marty McFly and Doc Brown!,41611,Easy,Marty McFly & Doc Brown,5,BrickHeadz,5,US
,209,,Join the Justice League™ with LEGO® BrickHeadz™ Tactical Batman™ and Superman™!,41610,,Tactical Batman™ & Superman™,,BrickHeadz,,US
4,126,2,Hop to it with a LEGO® BrickHeadz™ Easter Bunny!,40271,Easy,Easter Bunny,5,BrickHeadz,4.5,US
7,102,4,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,41487,Easy,Lloyd,5,BrickHeadz,4.7,US
5,89,3.2,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,41488,Very Easy,Master Wu,4.4,BrickHeadz,4,US
6,118,3.3,Lead a LEGO® BrickHeadz ghost crew featuring Disney’s Captain Armando Salazar!,41594,Very Easy,Captain Armando Salazar,5,BrickHeadz,4.7,US
3,127,3.5,Lead the First Order with a LEGO® BrickHeadz construction character featuring Captain Phasma™,41486,Very Easy,Captain Phasma™,4.7,BrickHeadz,4.7,US
11,91,3.8,Celebrate THE LEGO® BATMAN MOVIE with a LEGO BrickHeadz Batman!,41585,Very Easy,Batman™,4.9,BrickHeadz,4.7,US
8,96,4,Stand your ground with your own LEGO® BrickHeadz Iron Man!,41590,Easy,Iron Man,4.9,BrickHeadz,4.4,US
9,109,3.6,Treasure your own LEGO® BrickHeadz construction character featuring Disney’s Captain Jack Sparrow!,41593,Easy,Captain Jack Sparrow,4.8,BrickHeadz,4.6,US
8,93,3.9,Have a smashing time with LEGO® BrickHeadz The Hulk!,41592,Easy,The Hulk,4.6,BrickHeadz,4.1,US
10,139,4.2,Add some Disney fairytale romance with a LEGO® BrickHeadz construction character featuring Belle!,41595,Easy,Belle,4.8,BrickHeadz,4.7,US
