prod_id,num_reviews,piece_count,prod_desc,review_difficulty,difficulty,set_name,star_rating,theme_name,Image,Year,Price
75823,2,277,Catapult into action and take back the eggs from the Piggy Trike!,Average,3,Bird Island Egg Heist,4.5,Angry Birds™,https://images.brickset.com/sets/images/75823-1.jpg,2016,29.99
21030,23,1032,Explore the architecture of the United States Capitol Building!,Average,3,Piggy Car Escape,4.3,Angry Birds™,https://images.brickset.com/sets/images/75821-1.jpg,2016,12.99
21039,7,597,Celebrate Shanghai with this LEGO® Architecture Skyline set!,Average,3,United States Capitol Building,4.6,Architecture,https://images.brickset.com/sets/images/21030-1.jpg,2016,99.99
21028,37,598,Celebrate New York City with this LEGO® Architecture Skyline model!,Average,3,Solomon R. Guggenheim Museum®,4.6,Architecture,https://images.brickset.com/sets/images/21035-1.jpg,2017,79.99
21029,24,780,Recreate Buckingham Palace with LEGO® Architecture!,Average,3,Shanghai,4.9,Architecture,https://images.brickset.com/sets/images/21039-1.jpg,2018,59.99
21034,23,468,Celebrate London with this LEGO® Architecture Skyline model!,Average,3,New York City,4.2,Architecture,https://images.brickset.com/sets/images/21028-1.jpg,2016,59.99
21033,11,444,Celebrate Chicago with this LEGO® Architecture Skyline model!,Average,3,Buckingham Palace,4.7,Architecture,https://images.brickset.com/sets/images/21029-1.jpg,2016,49.99
21036,14,386,Experience the grandeur of the Arc de Triomphe!,Average,3,London,4.7,Architecture,https://images.brickset.com/sets/images/21034-1.jpg,2017,39.99
21019,53,321,Build your own LEGO® interpretation of the iconic Eiffel Tower!,Average,3,Chicago,4.8,Architecture,https://images.brickset.com/sets/images/21033-1.jpg,2017,39.99
17101,63,847,Bring your LEGO® creations to life!,Average,3,Arc de Triomphe,4.4,Architecture,https://images.brickset.com/sets/images/21036-1.jpg,2017,39.99
41597,13,708,Build a LEGO® BrickHeadz version of yourself!,Average,3,The Eiffel Tower,4.6,Architecture,https://images.brickset.com/sets/images/21019-1.jpg,2014,34.99
41596,2,116,Bring a classic Disney tale to life with a LEGO® BrickHeadz construction character featuring Beast!,Average,3,Sydney,4.6,Architecture,https://images.brickset.com/sets/images/21032-1.jpg,2017,29.99
60052,35,888,Move heavy goods across LEGO® City with the Cargo Train!,Average,3,BOOST Creative Toolbox,3.4,BOOST,https://images.brickset.com/sets/images/17101-1.jpg,2017,159.99
