setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
27499,75209,1,Star Wars,Solo,2018,Han Solo's Landspeeder,345.0,29.99,https://images.brickset.com/sets/images/75209-1.jpg,7511,1385,4.0,Escape to safety with Han Solo’s Landspeeder!,Easy,Han Solo's Landspeeder™,4.8
27437,76104,1,Marvel Super Heroes,Avengers: Infinity War,2018,The Hulkbuster Smash-Up,375.0,29.99,https://images.brickset.com/sets/images/76104-1.jpg,6899,1097,13.0,Bash the ball-shooting gun turret with the Hulkbuster!,Easy,The Hulkbuster Smash-Up,4.8
27832,75181,1,Star Wars,Ultimate Collector Series,2018, Y-wing Starfighter,1967.0,199.99,https://images.brickset.com/sets/images/75181-1.jpg,5317,2748,1.0,Collect the ultimate long-range Rebel starfighter!,Very Challenging,Y-Wing Starfighter™,5.0
27732,75884,1,Speed Champions,Ford,2018,1968 Ford Mustang Fastback,183.0,14.99,https://images.brickset.com/sets/images/75884-1.jpg,7310,900,9.0,"Build, display and race the 1968 Ford Mustang Fastback!",Easy,1968 Ford Mustang Fastback,4.9
27965,71021,7,Collectable Minifigures,Series 18,2018,Dragon Suit Guy,6.0,3.99,https://images.brickset.com/sets/images/71021-7.jpg,5376,820,14.0,Get the party started with LEGO® Minifigures!,Very Easy,Series 18: Party,4.6
27532,42078,1,Technic,Not Available,2018,Mack Anthem,2595.0,179.99,https://images.brickset.com/sets/images/42078-1.jpg,4545,1766,22.0,Discover innovative design with the Mack Anthem truck and trailer!,Average,Mack Anthem,4.7
27608,60182,1,City,Great Vehicles,2018,Pickup & Caravan,344.0,29.99,https://images.brickset.com/sets/images/60182-1.jpg,5735,1477,7.0,"Load up the Pickup & Caravan, it’s time for a vacation!",Easy,Pickup & Caravan,5.0
27427,70638,1,Ninjago,Sons of Garmadon,2018,Katana V11,257.0,19.99,https://images.brickset.com/sets/images/70638-1.jpg,1878,346,3.0,Pursue Luke Cunningham with Kai’s Katana V11!,Average,Katana V11,5.0
27439,76108,1,Marvel Super Heroes,Avengers: Infinity War,2018,Sanctum Sanctorum Showdown,1004.0,99.99,https://images.brickset.com/sets/images/76108-1.jpg,6367,2240,7.0,Stop Cull Obsidian and Ebony Maw stealing the Infinity Stone!,Average,Sanctum Sanctorum Showdown,5.0
27844,21314,1,Ideas,Licensed,2018,TRON: Legacy,230.0,34.99,https://images.brickset.com/sets/images/21314-1.jpg,6892,1593,30.0,Reimagine Disney’s TRON: Legacy movie scenes with LEGO® bricks!,Easy,TRON: Legacy,4.4
28007,75932,1,Jurassic World,Jurassic Park,2018,Jurassic Park Velociraptor Chase ,360.0,39.99,https://images.brickset.com/sets/images/75932-1.jpg,3654,1210,4.0,Play a game of hide and seek with the Velociraptor!,Average,Jurassic Park Velociraptor Chase,5.0
27426,70643,1,Ninjago,Sons of Garmadon,2018,Temple of Resurrection,765.0,69.99,https://images.brickset.com/sets/images/70643-1.jpg,1929,917,6.0,Explore the mysterious Temple of Resurrection!,Average,Temple of Resurrection,4.2
27515,76100,1,Marvel Super Heroes,Black Panther,2018,Royal Talon Fighter Attack,358.0,29.99,https://images.brickset.com/sets/images/76100-1.jpg,3582,1056,7.0,Capture Killmonger with Nakia’s awesome Royal Talon Fighter!,Average,Royal Talon Fighter Attack,4.7
27009,75193,1,Star Wars,MicroFighters,2018,Millennium Falcon Microfighter,92.0,9.99,https://images.brickset.com/sets/images/75193-1.jpg,8160,932,9.0,Play at micro lightspeed with the Millennium Falcon!,Easy,Millennium Falcon™ Microfighter,4.7
27484,41597,1,BrickHeadz,Miscellaneous,2018,Go Brick Me,708.0,29.99,https://images.brickset.com/sets/images/41597-1.jpg,4481,1040,13.0,Build a LEGO® BrickHeadz version of yourself!,Average,Go Brick Me,4.8
27434,76101,1,Marvel Super Heroes,Avengers: Infinity War,2018,Outrider Dropship Attack,124.0,14.99,https://images.brickset.com/sets/images/76101-1.jpg,6960,843,13.0,Defend Wakanda from attack with the Avengers!,Easy,Outrider Dropship Attack,4.8
27438,76107,1,Marvel Super Heroes,Avengers: Infinity War,2018,Thanos: Ultimate Battle,674.0,69.99,https://images.brickset.com/sets/images/76107-1.jpg,6239,1367,17.0,Battle Thanos for the Infinity Gauntlet with the Avengers!,Average,Thanos: Ultimate Battle,4.7
27724,10260,1,Creator Expert,Modular Buildings,2018,Downtown Diner,2480.0,169.99,https://images.brickset.com/sets/images/10260-1.jpg,10008,4705,62.0,Discover a place where music is on the menu!,Challenging,Downtown Diner,4.6
27974,71021,16,Collectable Minifigures,Series 18,2018,Birthday Party Boy,9.0,3.99,https://images.brickset.com/sets/images/71021-16.jpg,4628,541,14.0,Get the party started with LEGO® Minifigures!,Very Easy,Series 18: Party,4.6
27429,70918,1,The LEGO Batman Movie,Not Available,2018,The Bat-Dune Buggy,198.0,19.99,https://images.brickset.com/sets/images/70918-1.jpg,2192,976,2.0,Bring down Captain Boomerang™ with Batman’s Bat-Dune Buggy!,Not Available,The Bat-Dune Buggy,4.5
27431,70921,1,The LEGO Batman Movie,Not Available,2018,Harley Quinn Cannonball Attack,425.0,49.99,https://images.brickset.com/sets/images/70921-1.jpg,2182,1016,5.0,Dodge Harley Quinn’s cannonball attacks!,Average,Harley Quinn™ Cannonball Attack,3.2
27441,75927,1,Jurassic World,Fallen Kingdom,2018,Stygimoloch Breakout,222.0,29.99,https://images.brickset.com/sets/images/75927-1.jpg,2911,855,2.0,Stage a security breach with a dinosaur lab breakout!,Average,Stygimoloch Breakout,5.0
27306,76097,1,DC Comics Super Heroes,Justice League,2018,Lex Luthor Mech Takedown,406.0,39.99,https://images.brickset.com/sets/images/76097-1.jpg,2233,957,5.0,Power up for battle against the Lex Luthor™ Mech!,Average,Lex Luthor™ Mech Takedown,4.8
27666,10714,1,Classic,Not Available,2018,Blue Baseplate,1.0,7.99,https://images.brickset.com/sets/images/10714-1.jpg,2300,495,6.0,Create your own world on a Blue LEGO® Baseplate!,Very Easy,Blue Baseplate,4.7
27531,42084,1,Technic,Not Available,2018,Hook Loader,176.0,14.99,https://images.brickset.com/sets/images/42084-1.jpg,2243,235,2.0,Collect and transport heavy cargo with the Hook Loader!,Easy,Hook Loader,4.5
27509,21140,1,Minecraft,Minifig-scale,2018,The Chicken Coop,198.0,19.99,https://images.brickset.com/sets/images/21140-1.jpg,1959,424,4.0,Enjoy Minecraft™ farming adventures with the Chicken Coop!,Average,The Chicken Coop,4.5
27435,76102,1,Marvel Super Heroes,Avengers: Infinity War,2018,Thor's Weapon Quest,223.0,19.99,https://images.brickset.com/sets/images/76102-1.jpg,8142,1015,10.0,Find Thor’s ultimate weapon!,Easy,Thor's Weapon Quest,4.4
27433,70920,1,The LEGO Batman Movie,Not Available,2018,Egghead Mech Food Fight,293.0,29.99,https://images.brickset.com/sets/images/70920-1.jpg,3191,1044,11.0,Join Batman™ in a comical food fight!,Average,Egghead™ Mech Food Fight,4.7
27462,31073,1,Creator,Not Available,2018,Mythical Creatures,223.0,14.99,https://images.brickset.com/sets/images/31073-1.jpg,2604,493,5.0,Create a world of scary 3-in-1 Mythical Creatures!,Easy,Mythical Creatures,4.4
27495,75196,1,Star Wars,MicroFighters,2018,A-Wing vs. TIE Silencer Microfighters,188.0,19.99,https://images.brickset.com/sets/images/75196-1.jpg,5682,1043,3.0,Intercept Kylo Ren in a deep space microfighter duel!,Easy,A-Wing™ vs. TIE Silencer™ Microfighters,4.3
27397,75198,1,Star Wars,Episode IV,2018,Tatooine Battle Pack,97.0,14.99,https://images.brickset.com/sets/images/75198-1.jpg,8216,1572,14.0,Keep the Jawas busy on desert planet Tatooine!,Easy,Tatooine™ Battle Pack,4.1
27695,60177,1,City,Great Vehicles,2018,Airshow Jet,87.0,9.99,https://images.brickset.com/sets/images/60177-1.jpg,2785,498,2.0,Wow the crowds in the sleek Airshow Jet!,Easy,Airshow Jet,4.5
27512,21143,1,Minecraft,Minifig-scale,2018,The Nether Portal,470.0,39.99,https://images.brickset.com/sets/images/21143-1.jpg,954,443,1.0,Board the minecart and journey through the Nether Portal!,Average,The Nether Portal,5.0
27623,75204,1,Star Wars,Legends,2018,Sandspeeder,278.0,29.99,https://images.brickset.com/sets/images/75204-1.jpg,4059,1667,13.0,Speed into action with the Sandspeeder!,Easy,Sandspeeder™,4.5
27448,75200,1,Star Wars,The Last Jedi,2018,Ahch-To Island Training,241.0,29.99,https://images.brickset.com/sets/images/75200-1.jpg,8775,1677,25.0,Learn the Jedi way at the Ahch-To Island mountainside hut!,Easy,Ahch-To Island™ Training,4.5
27802,21313,1,Ideas,Not Available,2018,Ship in a Bottle,962.0,69.99,https://images.brickset.com/sets/images/21313-1.jpg,9087,2413,83.0,"Designed by fan creator, Jake Sadovich, Idaho, USA.",Average,Ship in a Bottle,4.5
27609,60183,1,City,Great Vehicles,2018,Heavy Cargo Transport,310.0,29.99,https://images.brickset.com/sets/images/60183-1.jpg,3269,865,7.0,Haul in the helicopter to handle the heavy lifting!,Easy,Heavy Cargo Transport,4.7
27517,60171,1,City,Mountain Police,2018,Mountain Fugitives,88.0,9.99,https://images.brickset.com/sets/images/60171-1.jpg,4166,691,2.0,Arrest the crooks and recover the hidden loot!,Not Available,Mountain Fugitives,5.0
27691,42077,1,Technic,Not Available,2018,Rally Car,1005.0,109.99,https://images.brickset.com/sets/images/42077-1.jpg,2489,1037,8.0,Push the limits with the awesome LEGO® Technic Rally Car!,Average,Rally Car,4.4
27425,70642,1,Ninjago,Sons of Garmadon,2018,Killow vs. Samurai X,556.0,49.99,https://images.brickset.com/sets/images/70642-1.jpg,989,515,2.0,Get weaponized for a dynamic Killow vs. Samurai X duel!,Average,Killow vs. Samurai X,4.0
27733,75885,1,Speed Champions,Ford,2018,Ford Fiesta M-Sport WRC,203.0,14.99,https://images.brickset.com/sets/images/75885-1.jpg,5957,893,13.0,Drive the Fiesta M-Sport WRC to victory!,Average,Ford Fiesta M-Sport WRC,4.5
27737,75888,1,Speed Champions,Porsche,2018,Porsche 911 RSR and 911 Turbo 3.0,391.0,29.99,https://images.brickset.com/sets/images/75888-1.jpg,4405,1186,4.0,Stage a historic Porsche race!,Average,Porsche 911 RSR and 911 Turbo 3.0,4.8
27966,71021,8,Collectable Minifigures,Series 18,2018,Classic Police Officer,6.0,3.99,https://images.brickset.com/sets/images/71021-8.jpg,3799,1201,14.0,Get the party started with LEGO® Minifigures!,Very Easy,Series 18: Party,4.6
27960,71021,2,Collectable Minifigures,Series 18,2018,Brick Suit Guy,5.0,3.99,https://images.brickset.com/sets/images/71021-2.jpg,5836,617,14.0,Get the party started with LEGO® Minifigures!,Very Easy,Series 18: Party,4.6
27398,75208,1,Star Wars,Episode V,2018,Yoda's Hut,229.0,29.99,https://images.brickset.com/sets/images/75208-1.jpg,9697,2051,5.0,Train with Luke at Yoda’s Dagobah hideout!,Easy,Yoda's Hut,4.4
27391,75533,1,Star Wars,Buildable Figures,2018,Boba Fett,144.0,29.99,https://images.brickset.com/sets/images/75533-1.jpg,3676,1394,4.0,Join the hunt with Boba Fett!,Average,Boba Fett™,4.8
27520,60173,1,City,Mountain Police,2018,Mountain Arrest,303.0,59.99,https://images.brickset.com/sets/images/60173-1.jpg,1657,894,2.0,Fly in and surprise the crooks at their hideout!,Average,Mountain Arrest,4.0
27523,60180,1,City,Great Vehicles,2018,Monster Truck,192.0,19.99,https://images.brickset.com/sets/images/60180-1.jpg,3624,666,4.0,Jump the fire and give the crowd a thrilling show!,Average,Monster Truck,5.0
27428,70639,1,Ninjago,Sons of Garmadon,2018,Street Race of Snake Jaguar,308.0,29.99,https://images.brickset.com/sets/images/70639-1.jpg,1528,400,3.0,Stage a high-speed bike showdown!,Average,Street Race of Snake Jaguar,4.7
27430,70923,1,The LEGO Batman Movie,Not Available,2018,The Bat-Space Shuttle,643.0,79.99,https://images.brickset.com/sets/images/70923-1.jpg,2740,1453,9.0,Launch a space mission from the Batcave!,Average,The Bat-Space Shuttle,4.8
27963,71021,5,Collectable Minifigures,Series 18,2018,Firework Guy,4.0,3.99,https://images.brickset.com/sets/images/71021-5.jpg,5171,478,14.0,Get the party started with LEGO® Minifigures!,Very Easy,Series 18: Party,4.6
